# head,phon,pos,synonyms(;),example_base,example_translation
free,fɹiː,adj,fri,He was given free rein to do whatever he wanted.,
free,fɹiː,adv,gratis,I got this bike free.,
free,fɹiː,verb,befri;fritage;løslade,"Pro.[…]Spirit, fine ſpirit, Ile free thee / Within two dayes for this.",
thesaurus,θɪˈsɔːɹəs,noun,begrebsordbog;saggruppeordbog;tesaurus;synonymordbog,"""Roget"" is the leading brand name for a print English thesaurus that lists words under general concepts rather than just close synonyms.",
encyclopedia,ənˌsəɪ.kləˈpi.di.ə,noun,encyklopædi;leksikon,"I only use the library for the encyclopedia, as we’ve got most other books here.",
cat,kæt,noun,fyr;kat;ankerkat,A group of wild cats is called a destruction.,
cat,kæt,verb,katte;brække sig,The anchors were catted at the bows of the yacht […],
word,wɜɹd,verb,formulere,I’m not sure how to word this letter to the council.,
book,bʊk,noun,bog;bind;album;bogføring;bøgerne,"Knowing I lou'd my bookes, he furniſhd me / From mine owne Library, with volumes, that / I prize aboue my Dukedome.",
book,bʊk,verb,nedskrive;notere;bogføre,I want to book a hotel room for tomorrow night.,
pound,paʊnd,noun,pund,the Rhode Island pound; the New Hampshire pound,
pound,paʊnd,noun,internat;dyrehjem,"(Police officer to a dog owner) ""He'd better stay calm or I'll have the pound come and get him.""",
pond,pɒnd,noun,dam,I wonder how they do this on the other side of the pond.,
nonsense,ˈnɒn.səns,noun,nonsens;vrøvl;sludder,"After my father had a stroke, every time he tried to talk, it sounded like nonsense.",
pie,paɪ,noun,tærte,The family had steak and kidney pie for dinner and cherry pie for dessert.,
crow,kɹəʊ,noun,krage,"“Ay,” put in a young man, who had the reputation of being the smartest “crow” in London—“‘fishers of men,’ as the parson says.”",
raven,ˈɹeɪvən,noun,ravn,We need a raven.,Vi behøver en ravn.
elephant,ˈɛl.ɪ.fənt,noun,elefant,"Let's play hide and seek. I'll count. One elephant, two elephant, three elephant...",
brown,bɹaʊn,adj,brun,"Near-synonyms: nongreen, antigreen",
brown,bɹaʊn,verb,brune,Fry the onions until they brown.,
month,mʌnθ,noun,måned,July is my favourite month.,
march,mɑːtʃ,noun,march;gang;udvikling,the march of time,
march,mɑːtʃ,verb,marchere;udvikle sig;rykke frem,"The column marching in double file, the instructor commands: […]",
march,mɑːtʃ,noun,mark;grænsemark;grænseland,"Juan's companion was a Romagnole, / But bred within the March of old Ancona[…].",
march,mɑːtʃ,verb,grænse til,We must march now.,Vi skal grænse til nu.
may,meɪ,verb,må;måske,But many times[…]we give way to passions we may resist and will not.,
current events,,noun,aktuelle begivenheder,The teacher asked the students to write a report on current events.,
day,deɪ,noun,dag;døgn,day and night;  I work at night and sleep during the day.,
lexicography,ˌlɛksɪˈkɒɡɹəfi,noun,leksikografi,"A dictionary, as an art and craft of lexicography, has always been closely associated with the notion of pedagogy.",
connotation,ˌkɒnəˈteɪʃən,noun,konnotation;medbetydning;bibetydning,"The word ""advisedly"" has a connotation of ""wisely"", although it denotes merely ""intentionally"" and ""deliberately.""",
synonym,ˈsɪn.əˌnɪm,noun,synonym,"Near-synonyms: near-synonym, parasynonym, plesionym",
dialect,ˈdaɪ.əˌlɛkt,noun,dialekt,Comparative wordlists of two dialects of Yoruba with Igala.,
hyponym,ˈhaɪpəʊ.nɪm,noun,hyponym;underbegreb,"The words “dog”, “cat”, and “horse” are hyponyms of “animal” because dogs, cats, and horses are types of animal.",
semantics,sɪˈmæntɪks,noun,semantik;betydningslære,Holonym: linguistics,
false friend,ˌfɒls ˈfɹɛnd,noun,falsk ven,A word and its false friend may well be etymologically related: in such cases semantic shifts have made them drift apart.,
alphabetical,ˌæl.fəˈbɛt.ɪ.kəl,adj,alfabetisk,"Paul, who talks about what the magical papyri do, has in his first letter to the Corinthians described basic aspects of alphabetical language.",
minute,ˈmɪnɪt,noun,minut,You have twenty minutes to complete the test.,
etymology,ˌɛtɪˈmɒləd͡ʒi,noun,etymologi,Holonyms: historical linguistics < linguistics,
trade,tɹeɪd,noun,handel;byttehandel,I did no trades with them once the rumors started.,
verb,vɜːb,noun,udsagnsord;verbum,The word “speak” is an English verb.,
adjective,ˈæd͡ʒ.ɪk.tɪv,noun,adjektiv;egenskabsord;tillægsord,The words “big” and “heavy” are English adjectives.,
craft,kɹɑːft,noun,håndværk,By the craft of nature.,
craft,kɹɑːft,verb,håndlavet;bygge;konstruere,state crafting; the process of crafting global policing,
adjectival,ˌæ.dʒɛkˈtaɪ.vəl,adj,adjektiv,adjectival syntax,
trade wind,ˈtɹeɪd ˈwɪnd,noun,passat;passatvind,They rode the trade winds going west.,
product,ˈpɹɒd.əkt,noun,produkt,"The product of last month's quality standards committee is quite good, even though the process was flawed.",
eagle,ˈiːɡəl,noun,ørn;eagle,"I, I go my own way
I swim against the stream
Forever I will fight the pοwers that be
The eagle flies alone",
antidisestablishmentarianism,ˌæntiˌdɪsɪˌstæblɪʃmənˈtɛəɹiəˌnɪz(ə)m,noun,antidisestablishmentarianisme,"As we said yesterday, the case for antidisestablishmentarianism has never been more threadbare.",
pumpkin,ˈpʌm(p).kɪn,noun,græskar,"Nevertheless, the comprehensive comparative analysis of pumpkin viromes across various geographic regions by NGS remains deficient.",
name,neɪm,noun,navn,I've never liked the name my parents gave me so I changed it at the age of twenty.,
name,neɪm,verb,døbe;navngive;nævne;vælge,One visitor named Hou Yugang said he was not too concerned about climate change and Baishui’s melting.,
portmanteau word,,noun,portmanteau;portmanteau-ord,One reason for the popularity of portmanteau words in naming language hybrids may be the fact that the names themselves embody a type of hybridity.,
fable,ˈfeɪbəl,noun,fabel;eventyr,"But refuſe prophane and olde wiues fables, and exerciſe thy ſelfe rather vnto godlineſſe.",
fable,ˈfeɪbəl,verb,fable;fabulere,"He Fables not, I heare the enemie: / Out ſome light Horſemen, and peruſe their Wings.",
a-,ə,prefix,-a,"amoral, asymmetry, atheism, asexual, acyclic, atypical",
aardvark,ˈɑːd.vɑːk,noun,jordsvin,"The aardvark burrows in the ground and feeds mostly on termites, which it catches with its long, slimy tongue.",
aardwolf,ˈɑːdˌwʊlf,noun,jordulv,Today the only dog-like hyena is Africa’s termite-eating aardwolf.,
abaca,ˈæb.əˌkɑː,noun,abaca,I can see a abaca.,Jeg kan se en abaca.
aback,əˈbæk,adv,baglæns;bagi;bagved,hoyed aback o' the fire,
abacus,ˈæbəkəs,noun,kugleramme;abacus,I’ve heard merchants still use an abacus for adding things up in China.,
abandon,əˈbæn.dən,verb,opgive;forlade;efterlade;forvise;udstøde,[…] he abandoned himself […] to his favourite vice.,
abandon,əˈbæn.dən,noun,løssluppenhed,"with gay abandon, with wild abandon",
abandonment,əˈbæn.dn̩.mn̩t,noun,opgivelse,"Since he left her, she's suing him for divorce on grounds of abandonment.",
abase,əˈbeɪs,verb,ydmyge,"For whoſoeuer exalteth himſelfe ſhalbe abaſed: and hee that humbleth himſelfe, ſhalbe exalted.",
abash,əˈbæʃ,verb,skamme ud;gøre forlegen,He was a man whom no check could abash,
abatis,ˈæbətiː,noun,forhugning,I can see a abatis.,Jeg kan se en forhugning.
abattoir,ˈæb.əˌtwɑː(ɹ),noun,slagteri,"Once the cows reach maturity, they're sent to the abattoir.",
abbess,ˈæb.ɪs,noun,abbedisse,The abbess was always after the nuns to keep the convent immaculately clean.,
abbey,ˈæb.i,noun,abbedi,"From 1199 to 1203 William Punchard was the abbot of the abbey of Rievaulx, which was part of the Cistercian order of monks.",
abbot,ˈæb.ət,noun,abbed,The newly appointed abbot decided to take a tour of the abbey with the cardinal's emissary.,
abbreviate,əˈbɹiː.vi.eɪt,verb,forkorte,"But it is one Thing, to Abbreuiate by Contracting, Another by Cutting off: […]",
abbreviation,əˌbɹiː.viˈeɪ.ʃən,noun,forkortelse,Hants is an abbreviation of Hampshire.,
abdicate,ˈæb.dɪˌkeɪt,verb,abdicere,"to abdicate the throne, the crown, the papacy",
abdication,ˌæb.dəˈkeɪ.ʃən,noun,abdikation;abdicering,"abdication of the throne, government, power, authority",
abdomen,ˈæb.də.mən,noun,bug;mave;bughule;bagkrop,He was all bent over complaining of pains in the abdomen.,
abduct,æbˈdʌkt,verb,bortføre;kidnappe,to abduct children,
abduction,əbˈdʌk.ʃn̩,noun,bortføring;abduktion;kidnappning,the abduction of a child,
abelian,əˈbi.li.ən,adj,abelsk,"The interesting aspect here is that U₃ is irreducible, even though all irreps over the complexes are one-dimensional because ℤ₄ is abelian.",
aberration,ˌæb.əˈɹeɪ.ʃn̩,noun,aberration,the aberration of youth,
abhorrence,əbˈhɒɹ.n̩(t)s,noun,afsky,My abhorrence of this fiend cannot be conceived.,
ability,əˈbɪl.ə.ti,noun,evne,This phone has the ability to have its software upgraded wirelessly.,
abiogenesis,ˌeɪbaɪəʊˈdʒɛnəsɪs,noun,abiogenese,She has a abiogenesis.,Hun har en abiogenese.
ablaut,ˈɑbˌlaʊt,noun,aflyd,I can see a ablaut.,Jeg kan se en aflyd.
able,ˈeɪ.bl̩,adj,i stand til;have mulighed for;habil;kompetent;dygtig,She is able to lift the box without assistance.,
able-bodied,ˈeɪ.bl̩ˌbɑ.did,adj,arbejdsfør,Unfair discrimination between the able-bodied and the disabled is illegal in many places.,
abnormal,ˈæbˌnɔɹ.ml̩,adj,unormal;abnorm;anormal,"And then after an abnormal meal, which was either a very late breakfast or a very early lunch, they drove on to Victoria Station.",
abnormally,æbˈnɔɹ.mə.li,adv,unormal;ualmindelig;anormal,"Living, as they did, in what appeared to me impenetrable darkness, their eyes were abnormally large and sensitive.",
aboard,əˈbɔːd,adv,ombord,We all climbed aboard.,
aboard,əˈbɔːd,prep,om bord (på),We all went aboard the ship.,
abode,əˈbəʊd,noun,bolig,"Vpon his Courser set the louely lode, / And with her fled away without abode.",
abolish,əˈbɒlɪʃ,verb,afskaffe,Slavery was abolished in the nineteenth century.,
abolition,ˌæb.əˈlɪʃ.n̩,noun,afskaffelse,the abolition of debts; the abolition of laws; the abolition of slavery; the abolition of police; the abolition of taxes,
abominable,əˈbɑm.ə.nə.bl̩,adj,afskyelig;modbydelig;fæl;rædselsfuld,A abominable car.,En afskyelig bil.
abominably,əˈbɑm.ə.nə.bli,adv,afskyelig;afskyeligt,They work abominably.,De arbejder afskyelig.
abomination,əˌbɒ.mɪˈneɪ.ʃən,noun,afskyelighed;pestilens;vederstyggelighed,"Onely th’adulterous Anthony, most large / In his abhominations, turnes you off",
abortion,əˈbɔɹ.ʃn̩,noun,abort,Mary decided to have an abortion because she was too young to raise a baby.,
about,əˈbaʊ̯t,prep,om;omkring;rundt om;til;på vej til,The snake was coiled about his ankle.,
about,əˈbaʊ̯t,adv,omkring;cirka;næsten;i omkreds,I looked about at the scenery that surrounded me.,
above,əˈbʌv,prep,ovenover;ovenpå;oppe over;over,He always put his coat on above his sweater.,
above,əˈbʌv,adj,ovenstående,A above car.,En ovenstående bil.
above-mentioned,əˈbʌvˌmɛnʃn̩d,adj,ovennævnt,A above-mentioned car.,En ovennævnt bil.
abracadabra,ˌæbɹəkəˈdæbɹə,intj,abrakadabra;abracadabra,,
abrade,əˈbɹeɪd,verb,afskrabe,I will abrade tomorrow.,Jeg vil afskrabe i morgen.
abridge,əˈbɹɪd͡ʒ,verb,forkorte;sammendrage,"She retired her self to Sebaste, and abridged her train from State to necessity.",
abroad,əˈbɹɔːd,adv,udenlands,"Another prince, deposed by the Revolution, was living abroad.",
abroad,əˈbɹɔːd,noun,udland,"I hate abroad, abroad’s bloody.",
abrogate,ˈæ.bɹə.ɡət,verb,ophæve;afskaffe,"But let us look a little further, and see whether the New Testament abrogates what we see so frequently used in the Old.",
abrupt,əˈbɹʌpt,adj,pludselig;uformodet;brat,The party came to an abrupt end when the parents of our host arrived.,
on,ɒn,prep,på,A vase of flowers stood on the table.,
odd,ɒd,adj,mærkelig;ulige,"She slept in, which was very odd.",
quiz,kwɪz,noun,spørgekonkurrence;quiz,"I've always heard he was a quiz, says another, or a quoz, or some such word ; but I did not know he was such a book-worm.",
calendar,ˈkæl.ən.də,noun,kalender,"The three principal calendars are the Gregorian, Jewish, and Islamic calendars.",
millennium,mɪˈlɛnɪəm,noun,årtusinde;millennium,"Magnolias are some of the most primitive of our flowering trees, and fossils dating back millennia prove that they have had little need to evolve.",
leap,liːp,verb,springe;hoppe,It is grete nede a man to go bak to recouer the better his leep,
leap,liːp,noun,spring;hop,He made a leap across the river.,
nu,njuː,noun,ny,She has a nu.,Hun har en ny.
watchlist,ˈwɔt͡ʃˌlɪst,noun,overvågningsliste,The police have hundreds of citizens on their watchlists.,
winter,ˈwɪntə,noun,vinter,"And after summer evermore succeeds
 Barren winter, with his wrathful nipping cold.",
winter,ˈwɪntə,verb,overvintre,"When they retired, they hoped to winter in Florida.",
bone,bəʊn,noun,knogle;ben,"No Trophee, Sword, nor Hatchment o're his bones.",
servant,ˈsɜːvənt,noun,tjener,"There are three servants in the household, the butler and two maids.",
robot,ˈɹəʊ.bɒt,noun,robot,We have a robot in the house that does the vacuuming.,
today,ðəˈdeɪ,adv,i dag;idag;i vore dage,I want this done today.,
crude oil,,noun,råolie,I can see a crude oil.,Jeg kan se en råolie.
absent,ˈæb.sn̩t,adj,fraværende,"Owing to his own illness and then his family's, Ramzi has often been absent from class this month. We will help him catch up with his studies.",
absent-minded,ˌæb.sn̩tˈmaɪn.dɪd,adj,åndsfraværende;distræt,It took the absent-minded man twenty minutes to find his glasses on top of his head.,
absolutely,ˈæb.səˌl(j)uːt.li,adv,absolut;fuldstændig,But when it came to posing for publicity pictures they proved absolutely brilliant doing just what came naturally.,
absoluteness,ˈab.sə.luːt.nəs,noun,absoluthed,"the absoluteness of his sovereignty, the absoluteness of his convictions",
absolution,æb.səˈljuː.ʃn̩,noun,absolution,Governments granting absolution to the nation.,
absolutism,ˈæb.sə.luː.tɪz.m̩,noun,enevælde;absolutisme,The element of absolutism and prelacy was more controlling in the counsels of the rival corporation.,
absolutist,ˈæb.səˌluː.tɪst,noun,absolutist,"the unitarian — whether materialist, idealist, or absolutist",
abstain,əbˈsteɪn,verb,forhindre,"In order to improve his health, Rob decided to abstain from smoking.",
abstemious,æbˈstiː.mɪ.əs,adj,afholdende,"[…] I, abstemious naturally, and rendered so by the fever that preyed on me, was forced to recruit myself with food.",
abstractness,æbˈstɹæk.nəs,noun,abstrakthed,The abstractness of the ideas.,
absurdity,əbˈsɜːd.ɪ.ti,noun,absurditet,The absurdity of the actual idea of an infinite number,
accept,əkˈsɛpt,verb,acceptere;modtage;indvilge;godtage,"Remember all thy offerings, and accept thy burnt sacrifice.",
accessibility,əkˌsɛs.əˈbɪl.ɪ.ti,noun,tilgængelighed;adgangsforhold,She has a accessibility.,Hun har en tilgængelighed.
accessible,əkˈsɛs.ɪ.bəl,adj,tilgængelig;modtagelig;letforståelig,an accessible town or mountain,
accidental,ˌæk.sɪˈdɛn.tl̩,adj,tilfældig,A accidental car.,En tilfældig bil.
accidentally,ˌæk.sɪˈdɛnt(ə)li,adv,tilfældigvis,He discovered penicillin largely accidentally.,
accolade,ˈæk.əˌleɪd,noun,akkolade,This film is likely to pick up major accolades.,
accommodating,əˈkɒm.əˌdeɪ.tɪŋ,adj,hjælpsom;imødekommende,The staff were very accommodating and made sure we had everything we needed.,
accordingly,əˈkɔɹ.dɪŋ.li,adv,ergo;derfor;altså;følgelig,"He was absent when I called, and I accordingly left my card.",
plural,ˈplʊəɹl̩,adj,flere;flertal;plural,The notion of culture is one whose meanings are plural and shifting.,
plural,ˈplʊəɹl̩,noun,flertal,"The plural of 'cat' is 'cats', but the plural of 'child' is 'children'.",
outer space,ˌaʊtə ˈspeɪs,noun,ydre rum,Astronauts train for years before traveling to outer space.,
alien,ˈeɪ.li.ən,noun,udlænding;rumvæsen;alien,"An alien born may purchase lands, or other estates: but not for his own use; for the king is thereupon entitled to them.",
alien,ˈeɪ.li.ən,adj,udenlandsk;fremmedartet,"alien subjects, enemies, property, or shores",
definition,ˌdɛf.ɪˈnɪʃ.ən,noun,definition;opløsningsevne;opløsning;gengivelse,"Your definition of ""elephant"" needs to be more precise than ""a big animal with large ears"".",
season,ˈsiː.zn̩,noun,sæson,"we saw, in six days' traveling, the several seasons of the year in their beauty and perfection",
autumn,ˈɔːtəm,noun,efterår;høst,autumn leaves,
summer,ˈsʌmə,noun,sommer,the heat of summer,
spring,spɹɪŋ,noun,kilde;fjeder,"The pris'ner with a spring from prison broke;
Then stretch'd his feather'd fans with all his might,
And to the neighb'ring maple wing'd his flight.",
libre,ˈliːbɹə,adj,fri,"He [God] Adame lent a libre will to follow what he liſt, / And with his holy ſpirit, and grace his choſen dois aſſiſt: [...]",
color,ˈkʌl.ə,noun,farve;farvetone;kulør;hudfarve,Humans and birds can perceive color.,
color,ˈkʌl.ə,adj,farve-,Color television and movies were considered a great improvement over black and white.,
color,ˈkʌl.ə,verb,male;få kulør;få farve;rødme;farve,We could color the walls red.,
van,væn,noun,varevogn;varebil;kassevogn;wagon,We need a van.,Vi behøver en varevogn.
die,daɪ,verb,opgive;ophøre,"Returne with ſpeed, time paſſeth ſwift away,
Our life is fraile, and we may dye to day.",
die,daɪ,noun,terning,Most dice are six-sided.,
in,ɪn,prep,i,The dog is in the kennel.,
in,ɪn,adv,inde,Suddenly a strange man walked in.,
google,ˈɡuː.ɡəl,verb,google,Tom googles all of his prospective girlfriends.,
foreign debt,,noun,udlandsgæld,We need a foreign debt.,Vi behøver en udlandsgæld.
lens,lɛnz,noun,linse,"No film should be revised based on the lenses we now are, either voluntarily, or being forced to peer through.",
whatever,ʍɒtˈɛv.ə,det,uanset,Good heavens! Whatever time is it?!,
whatever,ʍɒtˈɛv.ə,pron,hvad som helst;(det er) ligegyldigt,Whatever do you mean?,
transvestite,tɹænzˈvɛs.taɪt,noun,transvestit,"Even though Steven used to dress up in his sister's clothes, it still came as a surprise he ended up as a transvestite.",
debt,dɛt,noun,gæld;skyldighed,"This long debt of confidence, due from me to him, whose bane and ruin I have been, shall at length be paid.",
orange,ˈɒɹɪnd͡ʒ,adj,orange,A orange car.,En orange bil.
seven,ˈsɛvn̩,num,syv,"The cabbalism of the number seven is emphasized, for in hell seven judges at each of seven gates take one of these divine laws away from her.",
seven,ˈsɛvn̩,noun,syvtal;syver,He wrote three sevens on the paper.,
birth,bɜːθ,noun,fødsel,Intersex babies account for roughly one per cent of all births.,
wolf,wʊlf,noun,don juan,The soft violin solo was marred by persistent wolves.,
planet,ˈplænɪt,noun,planet,"Be they not dreames of humane vanity,[…]to make of our knowne earth a bright shining planet [translating astre]?",
star,stɑː(ɹ),noun,stjerne;asterisk;kendt,He loved watching the stars in the sky with her.,
sky,skaɪ,noun,himmel,"That year, a meteor fell from the sky.",
can,,verb,kunne;måtte,"She can speak English, French, and German.",
can,ˈkæn,noun,kande;vandkande;balder;dåse,I keep a can of fuel for emergencies.,
can,ˈkæn,verb,konservere;henkoge;smide ud;holde mund;afskedige,They canned air to sell as a novelty to tourists.,
zero,ˈzɪəɹəʊ,num,nul,The conductor waited until the passenger count was zero.,
zero,ˈzɪəɹəʊ,noun,nul;nul-;ingenting;nulpunkt;rod,"In unary and k-adic notation in general, zero is the empty string.",
zero,ˈzɪəɹəʊ,adj,nul;ingen,"The stem of ""kobieta"" with the zero ending is ""kobiet"".",
zero,ˈzɪəɹəʊ,verb,nulstille,They tried to zero the budget by the end of the quarter.,
number,ˈnʌmbər,noun,tal,Any number of people can be reading from a given repository at a time.,
numeral,ˈnjuːməɹəl,noun,tal;talord;numerale,Compare the numeral for the product with the original decimal numeral.,
bureaucrat,ˈbjʊəɹəkɹæt,noun,bureaukrat,We need a bureaucrat.,Vi behøver en bureaukrat.
alphabet,ˈæl.fəˌbɛt,noun,alfabet,The Greek alphabet has only twenty-four letters.,
achievement,əˈt͡ʃiːv.mənt,noun,udførelse;præstation;resultat;bedrift;våbenskjold,"As to the type of seat preferred, the views were so varied that it was considered wisely that the ideal design was beyond achievement!",
acid,ˈæsɪd,adj,sur,acid fruits or liquors,
acid,ˈæsɪd,noun,syre,She has a acid.,Hun har en syre.
polytheistic,ˌpɒlɪθiːˈɪstɪk,adj,polyteistisk,It is very polytheistic.,Det er meget polyteistisk.
lightspeed,,noun,lysets hastighed,"He paused, then finished, “with the drive from the Linz, he can do over 500 lightspeeds to meet us.",
teleport,ˈtɛləpɔː(ɹ)t,verb,teleportere,"I teleported home one night
With Ron and Sid and Meg.
Ron stole Meggie's heart away
And I got Sidney's leg.",
growth,ɡɹoʊθ,noun,vækst,"Growth was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong growth in China.",
quarter,ˈk(w)ɔː.tə,noun,fjerdedel;kvart;kvarter,I ate a quarter of the pizza.,
pre-Columbian,,adj,præ-columbiansk,since pre-Columbian times,
decade,ˈdɛkeɪd,noun,årti;dekade;decennium,a decade of soldiers,
fortnight,ˈfɔːt.naɪt,noun,to uger;fjorten dage,Near-synonym: halfmonth,
grass,ɡɹɑːs,noun,græs;græsplæne;plæne (qoloquial);stikker,"The cicale above in the lime, / And the lizards below in the grass, / Were as silent as ever old Tmolus was, / Listening to my sweet pipings.",
one,wʌn,num,én;et,"In some religions, there is more than one god.",
one,wʌn,pron,man;en;én,Any one of the boys.,
one,wʌn,noun,ettal;ener;et;én,I need some ones to make change.,
one,wʌn,det,den;det ene;ener;en,There was one box of biscuits available.,
two,tu,num,to,Venters began to count them—one—two—three—four—on up to sixteen.,
two,tu,noun,total,The number 2202 contains three twos.,
three,θɹiː,num,tre,Venters began to count them—one—two—three—four—on up to sixteen.,
